"id";"empresa_id";"usuario_apertura_id";"fecha_apertura";"importe_apertura";"apertura_sugerido";"comentario_apertura";"is_pintar_apertura";"usuario_cierre_id";"fecha_cierre";"importe_cierre";"cierre_sugerido";"visa";"is_pintar_visa";"traslado";"deposito";"is_pintar_deposito";"comentario_cierre";"is_pintar_cierre";"estado";"usuario_creacion";"fecha_creacion"
411;3;20;"2018-04-27 14:15:49";260.0;260.0;"";0;20;"2018-04-27 18:13:35";260.0;260.0;0.0;0;128.0;0.0;0;"";0;1;20;"2018-04-27 14:15:49"
412;5;18;"2018-04-27 16:51:16";152.0;152.0;"";0;18;"2018-04-27 20:36:10";152.0;152.0;15.0;0;163.5;30.0;0;"Se ingresó dos veces un personalizado de s/35.00";0;1;18;"2018-04-27 16:51:16"
413;3;8;"2018-04-27 18:42:19";260.0;260.0;"";0;8;"2018-04-27 21:32:08";260.0;260.0;32.0;0;205.0;0.0;0;"";0;1;8;"2018-04-27 18:42:19"
414;3;10;"2018-04-28 10:14:10";260.0;260.0;"";0;10;"2018-04-28 14:02:23";260.0;260.0;11.0;0;34.0;0.0;0;"";0;1;10;"2018-04-28 10:14:10"
415;5;18;"2018-04-28 11:31:34";152.0;152.0;"";0;18;"2018-04-28 14:02:04";152.0;152.0;0.0;0;32.5;0.0;0;"";0;1;18;"2018-04-28 11:31:34"
416;3;20;"2018-04-28 14:17:50";260.0;260.0;"";0;20;"2018-04-28 17:53:33";260.0;260.0;0.0;0;79.5;0.0;0;"";0;1;20;"2018-04-28 14:17:50"
417;3;8;"2018-04-28 17:57:35";260.0;260.0;"";0;8;"2018-04-28 21:46:23";260.0;260.0;30.0;0;202.0;0.0;0;"";0;1;8;"2018-04-28 17:57:35"
418;5;11;"2018-04-28 18:51:24";152.0;152.0;"";0;11;"2018-04-28 20:23:29";152.0;152.0;0.0;0;150.0;0.0;0;"";0;1;11;"2018-04-28 18:51:24"
419;3;10;"2018-04-30 10:17:02";260.0;260.0;"";0;10;"2018-04-30 14:00:39";260.0;260.0;68.0;0;100.5;0.0;0;"";0;1;10;"2018-04-30 10:17:02"
420;5;18;"2018-04-30 13:18:30";152.0;152.0;"";0;11;"2018-04-30 17:24:00";152.0;152.0;20.0;0;20.0;0.0;0;"";0;1;18;"2018-04-30 13:18:30"
421;3;8;"2018-04-30 14:06:09";260.0;260.0;"";0;8;"2018-04-30 17:57:06";260.0;260.0;51.0;0;211.5;0.0;0;"";0;1;8;"2018-04-30 14:06:09"
422;5;11;"2018-04-30 17:24:51";152.0;152.0;"";0;11;"2018-04-30 20:26:17";152.0;152.0;10.0;0;184.5;50.0;0;"";0;1;11;"2018-04-30 17:24:51"
423;3;20;"2018-04-30 18:04:12";260.0;260.0;"";0;20;"2018-04-30 21:51:03";260.0;260.0;55.0;0;230.5;0.0;0;"";0;1;20;"2018-04-30 18:04:12"
424;5;11;"2018-04-30 20:26:38";152.0;152.0;"";0;11;"2018-04-30 20:45:38";152.0;152.0;0.0;0;55.0;50.0;0;"";0;1;11;"2018-04-30 20:26:38"
425;3;10;"2018-05-02 10:53:10";260.0;260.0;"";0;10;"2018-05-02 13:59:05";260.0;260.0;10.0;0;58.0;0.0;0;"";0;1;10;"2018-05-02 10:53:10"
426;5;18;"2018-05-02 12:27:57";152.0;152.0;"";0;18;"2018-05-02 14:02:45";152.0;152.0;50.0;0;44.0;0.0;0;"";0;1;18;"2018-05-02 12:27:57"
427;3;8;"2018-05-02 14:02:30";260.0;260.0;"";0;8;"2018-05-02 17:34:01";260.0;260.0;39.0;0;37.0;0.0;0;"";0;1;8;"2018-05-02 14:02:30"
428;5;11;"2018-05-02 16:45:24";152.0;152.0;"";0;11;"2018-05-02 20:25:10";152.0;152.0;15.0;0;169.0;35.0;0;"";0;1;11;"2018-05-02 16:45:24"
429;3;20;"2018-05-02 17:42:50";260.0;260.0;"";0;20;"2018-05-02 21:45:06";260.0;260.0;23.0;0;165.5;0.0;0;"me sobran 2 soles, restar 50 visa agregar 14.50 happy hour mas cappucino";0;1;20;"2018-05-02 17:42:50"
430;3;10;"2018-05-03 10:29:55";260.0;260.0;"";0;10;"2018-05-03 14:00:20";260.0;260.0;0.0;0;119.0;50.0;0;"";0;1;10;"2018-05-03 10:29:55"
